Time [s],Channel 0
0.000000000,0
0.322971520,1
0.460990240,0
0.572057920,1
0.575911360,0
1.305804000,1
1.477250720,0
2.132828320,1
2.156565120,0
2.362906560,1
2.366540000,0
2.372302720,1
2.447652960,0
2.556456480,1
2.580676160,0
3.270889280,1
3.286820960,0
3.324382560,1
3.379879360,0
3.401543680,1
3.542617120,0
4.335377280,1
4.484938080,0
5.336234400,1
5.441506400,0
6.356992800,1
6.436411360,0
7.330157920,1
7.549591520,0
8.342715200,1
8.535300160,0
9.335846880,1
9.433564960,0
10.337465440,1
10.452064480,0
11.348363840,1
11.538828000,0
12.324864160,1
12.443003680,0
13.335093760,1
13.433394080,0
14.336091520,1
14.440707520,0
15.335485760,1
15.442083840,0
16.336656960,1
16.448823200,0
17.328005600,1
17.544978240,0
18.319969440,1
18.556409280,0
18.941940480,1
18.952329280,0
19.323400640,1
19.534974720,0
20.323232480,1
20.535022080,0
21.313881760,1
21.453940800,0
21.883668000,1
21.909814400,0
21.922169280,1
21.938912800,0
22.316749120,1
22.570137440,0
22.732369280,1
22.763963200,0
23.313299680,1
23.466044000,0
23.794460800,1
23.826245920,0
23.838104480,1
23.845484640,0
24.079303520,1
24.084865920,0
24.159254400,1
24.163195840,0
24.178312640,1
24.208736160,0
24.212744640,1
24.255213120,0
24.313091200,1
24.395217600,0
24.440414560,1
24.548024640,0
24.617630880,1
24.634430240,0
24.861039840,1
24.869366880,0
25.072954240,1
25.084788160,0
25.180428640,1
25.241976160,0
25.326791360,1
25.380107200,0
25.384544640,1
25.459863040,0
25.493905760,1
25.502087680,0
26.043690720,1
26.070643840,0
26.079012160,1
26.110618080,0
26.139684000,1
26.144052480,0
26.209260480,1
26.245065280,0
26.276945600,1
26.287972160,0
26.322129280,1
26.356233120,0
26.367781440,1
26.377322720,0
26.385305440,1
26.395629120,0
26.402892800,1
26.456689600,0
26.465119360,1
26.566644960,0
26.598297280,1
26.602992320,0
27.330518880,1
27.468866720,0
27.576468000,1
27.590182720,0
28.261756000,1
28.265187200,0
28.335247520,1
28.460834880,0
28.465977120,1
28.607787680,0
29.349652480,1
29.397826080,0
29.400919360,1
29.438355360,0
30.334219840,1
30.548628800,0
31.324207840,1
31.536267680,0
32.339368960,1
32.459433440,0
33.349735040,1
33.549047360,0
34.342135200,1
34.439272320,0
35.348943520,1
35.537361760,0
36.330722880,1
36.421168800,0
37.331508000,1
37.537593280,0
38.324831680,1
38.526506240,0
39.316502880,1
39.646503200,0
40.332339200,1
40.637135520,0
41.326230560,1
41.532826880,0
42.330637600,1
42.643247040,0
43.332799360,1
43.438783520,0
44.322165760,1
44.852990080,0
44.870346400,1
44.901189760,0
45.327738880,1
45.428847520,0
46.317742560,1
46.440426240,0
47.094022400,1
47.117547040,0
47.307991360,1
47.448358400,0
47.746501280,1
47.752960800,0
47.763284480,1
47.776719680,0
47.864783040,1
47.916423040,0
48.193960640,1
48.292043200,0
48.320673760,1
48.493224640,0
49.288823040,1
49.300137920,0
49.304522880,1
49.454387840,0
49.646564160,1
49.651609600,0
49.710087840,1
49.717623360,0
49.725241120,1
49.758839840,0
49.926557120,1
49.937692160,0
50.024458880,1
50.052941440,0
50.265687680,1
50.368818880,0
50.380741760,1
50.486666560,0
50.648528160,1
50.655022880,0
