Time [s],Channel 0
0.000000000,0
0.759115840,1
0.983128320,0
1.760340480,1
1.976796480,0
2.764973600,1
3.009146560,0
3.759063040,1
3.883764160,0
4.749563040,1
4.988895040,0
5.761493120,1
5.891728320,0
6.756889440,1
6.976319840,0
7.757245760,1
7.904510400,0
7.911201760,1
7.923210400,0
7.940887680,1
7.948884800,0
8.228804960,1
8.246128640,0
8.764967520,1
8.884526080,0
9.764559360,1
9.970942400,0
10.761727360,1
10.978722880,0
11.758995360,1
11.885956800,0
12.751408960,1
12.978904800,0
13.768020000,1
13.877864480,0
14.752491840,1
14.910324800,0
15.758787680,1
15.880253760,0
16.755802080,1
16.880404000,0
17.756637760,1
17.982260800,0
18.752638560,1
18.902336800,0
19.756307040,1
19.976808000,0
20.763633280,1
20.991316160,0
21.760260960,1
22.081563040,0
22.759108000,1
23.074697280,0
23.754806400,1
23.978637120,0
24.767656160,1
25.074668320,0
25.769157440,1
25.897905600,0
26.756195040,1
27.279081600,0
27.764662880,1
27.872429760,0
28.759192160,1
28.904770400,0
29.763699520,1
29.883960320,0
30.761183200,1
30.889074240,0
31.755594400,1
31.882902080,0
32.752843360,1
32.869966880,0
33.763197760,1
33.868557600,0
34.748198400,1
34.895772960,0
35.758046560,1
35.879272480,0
36.757152160,1
36.876086880,0
37.755920160,1
37.875704800,0
38.755466080,1
38.885252320,0
39.573289600,1
39.583014400,0
39.758940960,1
39.866478240,0
40.534831680,1
40.715569920,0
40.741335360,1
40.938490080,0
41.757164480,1
41.890691520,0
42.757889920,1
42.888330560,0
43.762021280,1
43.871104960,0
44.759698560,1
44.880653280,0
45.756002880,1
46.004285280,0
46.760247520,1
46.873694080,0
47.753340800,1
47.883419840,0
48.758901440,1
48.887576480,0
49.765241280,1
49.977981440,0
50.758234080,1
50.981722720,0
51.761535680,1
51.883057600,0
52.747465440,1
52.911787200,0
53.759158720,1
53.984354240,0
54.753208960,1
54.875303680,0
55.756073920,1
55.898055040,0
56.757433760,1
56.883809120,0
57.755889920,1
57.874424480,0
58.740435520,1
58.896331840,0
58.916931840,1
58.937623200,0
59.763030240,1
59.992913600,0
60.763952000,1
60.977552960,0
61.750845440,1
61.987128160,0
62.755231520,1
63.016366880,0
63.748928480,1
63.882876800,0
64.759783200,1
65.001680320,0
65.757919520,1
65.877684800,0
66.756794400,1
66.995556960,0
67.764157440,1
67.885797600,0
68.753551200,1
68.878531520,0
69.757496800,1
69.985876320,0
70.746073280,1
70.981153120,0
71.757032800,1
71.888861120,0
72.752376320,1
72.980657440,0
73.754939200,1
73.874800320,0
74.758012960,1
74.899491200,0
75.760285920,1
75.893389120,0
76.756532800,1
76.972830720,0
77.759844800,1
77.894910240,0
78.753139520,1
78.907161600,0
79.746221120,1
79.970627200,0
80.754694240,1
80.966085600,0
81.751906880,1
82.073015840,0
82.757916640,1
83.074997920,0
83.761278080,1
83.987264320,0
84.760609760,1
85.090702400,0
85.757685600,1
85.877789760,0
86.756950080,1
87.317255200,0
87.765470240,1
87.877103680,0
88.762230400,1
88.873268320,0
89.754911360,1
89.885092960,0
90.751150560,1
90.896489920,0
91.759657120,1
91.910014720,0
92.756987840,1
92.875239040,0
93.758807840,1
93.887362400,0
94.754509600,1
94.878621600,0
95.758236640,1
95.893894560,0
96.756498400,1
96.876344800,0
97.762383040,1
97.902591040,0
98.759423040,1
98.879981280,0
99.757070400,1
99.889900320,0
100.755873920,1
100.883713760,0
100.955167520,1
100.964480480,0
101.751863520,1
101.869494720,0
102.759427200,1
102.869570880,0
103.756112320,1
103.885480000,0
104.756801440,1
104.890908000,0
105.755933280,1
105.983499840,0
106.757974880,1
106.889715360,0
107.758184800,1
107.889405920,0
108.749584640,1
108.873047680,0
109.758378720,1
109.982092800,0
110.751146080,1
110.988302720,0
111.754880160,1
111.873327680,0
112.751494560,1
112.872959680,0
113.756675840,1
113.977229760,0
114.761682560,1
114.878214080,0
115.757439840,1
115.893180160,0
116.758579840,1
116.882004480,0
117.754961600,1
117.902152800,0
118.759197920,1
118.871628000,0
119.755055040,1
119.996031040,0
120.751098880,1
121.006515360,0
121.753428640,1
122.003504640,0
122.752587360,1
123.005203840,0
123.757550240,1
123.888297440,0
124.756040320,1
124.983392800,0
125.754348640,1
125.886777760,0
126.763684640,1
126.998924640,0
127.754751040,1
127.890726400,0
128.751300800,1
128.878458400,0
129.751508960,1
129.997380480,0
130.491109120,1
130.496752800,0
130.764018400,1
130.989853440,0
131.757471520,1
131.877871520,0
132.756057920,1
132.969466880,0
133.749397600,1
133.884125920,0
134.755003200,1
134.887250560,0
135.755626080,1
135.886431680,0
136.745299200,1
136.990786560,0
137.759474080,1
137.991944800,0
138.623632480,1
138.646601280,0
138.754220640,1
138.872805760,0
139.745310400,1
139.989276320,0
140.755221120,1
140.976275840,0
141.753980320,1
142.065546080,0
142.757764800,1
143.101354720,0
143.753908160,1
144.084387520,0
144.760463360,1
145.115408000,0
145.756745760,1
145.891054880,0
146.758792480,1
147.271947040,0
147.758362400,1
147.895985280,0
148.750039680,1
148.895827040,0
149.766140800,1
149.883640160,0
150.753681120,1
150.909431520,0
151.755691680,1
151.881713600,0
152.756720800,1
152.878195840,0
153.754219520,1
153.876912800,0
154.756596800,1
154.885426560,0
155.758049280,1
155.876151680,0
156.755991520,1
156.873400480,0
157.746928000,1
157.896697920,0
158.754422080,1
158.876737760,0
159.755392000,1
159.884198080,0
160.750720960,1
160.871261440,0
161.746892640,1
161.874452640,0
162.751362400,1
162.888308800,0
163.759825280,1
163.926138400,0
164.757244640,1
164.890299040,0
165.767819200,1
165.981484160,0
166.749046080,1
166.892263040,0
167.749149920,1
167.888535520,0
168.755865760,1
168.882675520,0
169.752310560,1
169.975406400,0
170.755203680,1
171.000828960,0
171.758247840,1
171.885179840,0
172.756463040,1
172.875781600,0
173.753565760,1
174.076356640,0
174.750181920,1
174.875951200,0
175.759666080,1
175.891409760,0
176.754986880,1
176.881174240,0
177.354493280,1
177.372124000,0
177.767017120,1
177.881098720,0
178.741835520,1
178.880829440,0
179.753566560,1
179.992810080,0
180.754524000,1
180.984224800,0
181.758626400,1
182.003465280,0
182.758416160,1
182.972181600,0
183.749867040,1
183.896807680,0
184.756291040,1
184.990528320,0
185.747769440,1
185.892004480,0
186.755844960,1
186.977090880,0
187.758274080,1
187.897243680,0
188.209678880,1
188.220028800,0
188.753383680,1
188.891025440,0
189.759889920,1
189.962798880,0
190.763692160,1
190.975430720,0
191.757743040,1
191.893096960,0
192.753017280,1
192.966001760,0
193.753144640,1
193.880884640,0
194.191831520,1
194.221664000,0
194.756587680,1
194.877909440,0
195.759199360,1
195.973946560,0
196.761080480,1
196.876915680,0
197.754450560,1
197.885845440,0
198.097143840,1
198.117644160,0
198.755747200,1
198.873888640,0
199.753635840,1
199.998360320,0
200.765963680,1
201.004240480,0
201.754815840,1
202.089248000,0
202.757066400,1
203.086628320,0
203.757095520,1
203.974244480,0
204.761061440,1
205.081635840,0
205.753763040,1
205.905220000,0
206.760235200,1
207.268721440,0
207.757920320,1
207.869109600,0
208.757198560,1
208.901582240,0
209.752252160,1
209.895775200,0
210.758581280,1
210.885288480,0
211.753882400,1
211.904154400,0
212.753982400,1
212.872311680,0
213.760700320,1
213.867193760,0
214.749915040,1
214.881984480,0
215.753648480,1
215.877632480,0
216.754805920,1
216.872624640,0
217.744489920,1
217.875797760,0
218.752911040,1
218.878571520,0
219.745315840,1
219.906593440,0
220.750012000,1
220.882673920,0
221.755182880,1
221.875006560,0
222.750922400,1
222.884332000,0
223.754556320,1
223.880628000,0
224.757149280,1
224.884426880,0
225.752601280,1
225.972884480,0
226.757122720,1
226.886600000,0
227.752091520,1
227.893799200,0
228.758665280,1
228.889740320,0
229.756972800,1
229.972360640,0
230.752037440,1
230.970985760,0
231.749676160,1
231.888176320,0
232.703689760,1
232.709413120,0
232.740532000,1
232.913126720,0
232.986163040,1
233.011782240,0
233.756367840,1
234.002671200,0
234.756271200,1
234.883839680,0
235.747618240,1
235.878048000,0
236.757604480,1
236.878180160,0
237.758795200,1
237.876169120,0
238.762723360,1
238.876402240,0
239.753412480,1
239.981528800,0
240.762476000,1
240.967394240,0
241.765168480,1
241.967346400,0
242.757838880,1
242.967609120,0
243.748534880,1
243.871160960,0
244.750963520,1
245.002523840,0
245.754842080,1
245.870024160,0
246.752534880,1
246.969155040,0
247.754361760,1
247.862155360,0
248.756430720,1
248.879653440,0
249.749214880,1
249.966965920,0
250.754817120,1
250.968306560,0
251.764975040,1
251.898524800,0
252.758097760,1
252.994429120,0
253.759483680,1
253.885347040,0
254.756129600,1
254.884628960,0
255.768466080,1
255.971151360,0
256.761386080,1
256.890500480,0
257.756444480,1
257.981263680,0
258.753736480,1
258.876654720,0
259.754958400,1
259.973769440,0
260.754062560,1
260.967108320,0
261.756585120,1
262.074656320,0
262.103958560,1
262.142330080,0
262.750743520,1
263.084279520,0
263.764367840,1
264.068895200,0
264.758177600,1
265.070270560,0
265.758375040,1
265.912862560,0
266.753611840,1
267.275263040,0
267.757217120,1
267.870142720,0
268.753807040,1
268.891057920,0
269.760149440,1
269.868923040,0
270.747948640,1
270.878390400,0
271.754393920,1
271.881863680,0
272.758143200,1
272.897427840,0
273.748192000,1
273.865735360,0
274.750147360,1
274.912967840,0
275.757782080,1
275.869115520,0
276.757869280,1
276.888929920,0
277.755007680,1
277.889372320,0
278.748910400,1
278.881093920,0
279.750270240,1
279.878957440,0
280.755771840,1
280.893533280,0
281.749482720,1
281.896940640,0
282.756978400,1
282.910931200,0
283.752977600,1
283.875670400,0
284.748520320,1
284.889279360,0
285.750577600,1
285.979004960,0
286.750037760,1
286.875416320,0
287.057036160,1
287.080804480,0
287.744152480,1
287.887340320,0
288.750418880,1
288.905163840,0
289.760029280,1
289.989200320,0
290.749201920,1
290.974083360,0
291.756196800,1
291.903432800,0
292.755413600,1
292.888190720,0
293.752971040,1
293.980320960,0
294.751789120,1
294.873696320,0
295.757428800,1
295.873936480,0
296.754629440,1
296.879718080,0
297.756545920,1
297.867923200,0
298.749347680,1
298.886247680,0
299.750850400,1
299.973803680,0
300.754011840,1
300.986492640,0
301.754156800,1
301.974656640,0
302.762624000,1
302.978040000,0
303.749588320,1
303.862663520,0
304.754194400,1
304.982186400,0
305.760443040,1
305.896071200,0
306.754720480,1
306.974241120,0
307.748970560,1
307.881551680,0
308.746929760,1
308.884565120,0
309.755697760,1
309.973028800,0
310.756456480,1
310.978301600,0
311.762512960,1
311.889718720,0
312.756167840,1
312.986416000,0
313.752107680,1
313.886126400,0
314.748797280,1
314.890104320,0
315.750337440,1
315.974829440,0
316.749396160,1
316.965453280,0
317.753800000,1
317.891303840,0
318.755029760,1
318.886166400,0
319.754147200,1
319.974756320,0
320.757982400,1
320.976231520,0
321.756267200,1
322.083492160,0
322.751497600,1
323.081807360,0
323.751265600,1
324.079888480,0
324.754861920,1
325.067015840,0
325.753925600,1
325.862757440,0
326.757138080,1
327.265197600,0
327.754839840,1
327.866838720,0
